Item,DESCR_1,DESCR_2,Location,Home_Location,Qty_on_Hand,ID_LOC_SRC_COST_STD,Material,Labor,VarB,ContCost,FixB,Total
001-046-07,TUBE 2.62 SQX.187 WALL,V-BEND 76 MIN HF,61,61,-82,,-20.1064,0,0,-20.1064,0,-20.1064
001-048-06,TUBE 3.50 SQX.250 WALL,V-BEND,61,61,-243,,-106.5312,0,0,-106.5312,0,-106.5312
003-543-00,AXLE LUG PLATE SHORT CUSTOMER,SUPPLIED PN 40939800,61,61,-30,,-0.003,0,0,-0.003,0,-0.003
003-544-00,AXLE LUG PLATE MAIN CUSTOMER,SUPPLIED PN 409398001,61,61,-30,,-0.003,0,0,-0.003,0,-0.003
006-058-00,NUT FLANGE 5/8-18 GR 8,ZINC PLATED,61,61,-848,,-857.8368,0,0,-857.8368,0,-857.8368
008-231-9G,HUB KIT 7K 865 9/16 GRS 2.250,FOR 008-231-18,61,61,-800,,-23899.28,-1062.4,-4556.32,-29518,-781.36,-30299.36
008-447-61,HUB 3.5K 545 MACH,FOR WASP,61,61,-150,,-939,0,0,-939,0,-939
012-113-04,"TIE PLATE, 3.50 TUBE, 2.00 SPR",COATED,61,61,-124,,-316.2,-6.9192,-21.018,-344.1372,-5.6792,-349.8164
014-106-00,"BUSHING, SQUARE, FOR #13 TF",DELRIN OR CELCON,61,61,-138,,-116.5134,0,0,-116.5134,0,-116.5134
014-107-00,"BUSHING, SQUARE, FOR #13 TF",INSERT FOR 014-106-00,61,61,-138,,-94.392,0,0,-94.392,0,-94.392
014-108-00,"BUSHING, SQUARE, FOR #12 TF",DELRIN OR CELCON,61,61,-732,,-594.5304,0,0,-594.5304,0,-594.5304
014-109-00,"BUSHING, SQUARE, FOR #12 TF",INSERT FOR 014-108-00,61,61,-732,,-398.94,0,0,-398.94,0,-398.94
022-027-10,"BLIND RIVET #4, 1/8'""X.462'""",DOME STYLE HEAD,61,61,-6,,-0.0636,0,0,-0.0636,0,-0.0636
026-031-02,"WIRE, 18 GA COPPER WHITE 19'""",41/34,61,61,-20,,-1.416,-0.058,-0.096,-1.57,-0.058,-1.628
026-031-3R,"WIRE ASSEMBLY, GROUND",WELLS CARGO ONLY,61,61,-50,,-11.44,-0.145,-0.24,-11.825,-0.145,-11.97
027-032-00,CABLE HANGER FOR .250 HOLE,5/8 DIAMETER LOOP,61,61,-2177,,-187.6574,0,0,-187.6574,0,-187.6574
027-052-00,"NYLON CABLE TIE - 24.0'"" LONG",,61,61,-1118,,-214.7678,0,0,-214.7678,0,-214.7678
028-087-00,HANGER 1.3 X 2.125 X 1.50,93003 SPECIAL,61,61,-67,,-38.3709,0,0,-38.3709,0,-38.3709
032-020-01,PLYWOOD DIVIDER - I/C,,61,61,-600,,-0.06,0,0,-0.06,0,-0.06
032-021-01,BRAKE PALLET - I/C,,61,61,-15,,-0.0015,0,0,-0.0015,0,-0.0015
032-022-01,HUB PALLET - I/C,,61,61,-15,,-0.0015,0,0,-0.0015,0,-0.0015
052-004-00,SHOCK ABSORBER KIT WITHOUT,UPPER MOUNTING BRACKETS,61,61,-31,,-699.8436,0,0,-699.8436,0,-699.8436
059-964-00,TRAILER LABEL FOR DURA-FLEX,AXLES,61,61,-10,,-1.965,0,0,-1.965,0,-1.965
067-005-00,BUTT SPLICE - 18-22 GA.   RED,ADHESIVE LINED,61,61,-8688,,-1898.328,0,0,-1898.328,0,-1898.328
069-047-35,TORSION ARM BROACHED - #11H,45 DEG START ANGLE,61,61,-2,,-14.409,-1.9752,-3.9516,-20.3358,-1.279,-21.6148
069-161-00,ARM PLATE 7K CUSTOMER,SUPPLIED PN 4093980017,61,61,-30,,-0.003,0,0,-0.003,0,-0.003
700-001-00,E-COAT,,61,61,-697,,-3494.2004,0,0,-3494.2004,0,-3494.2004
701-036-00,GALVANIZING,,61,61,-12,,-454.548,0,0,-454.548,0,-454.548
701-046-07,TUBE BENDING, ,61,61,-1,,-2.5,0,0,-2.5,0,-2.5
769-034-00,GALVANIZING ARMS,,61,61,-2,,-14.947,0,0,-14.947,0,-14.947
7E1-975-00,INSTALL COLLARS & PUNCH HOLES,,61,61,-375,,-2321.025,0,0,-2321.025,0,-2321.025
A/P-165-00,"AP KIT-#8,#9 TORFLEX  SINGLE",INNER SIDE MOUNT,61,61,-32,,-112.5376,0,0,-112.5376,0,-112.5376
A1536179,*OBSOLETE - USE 012-002-03*,TIE PLT RIBBED 12-2 3 2 CZN,61,61,-20,,-15.086,0,0,-15.086,0,-15.086
A1536357,ARM 8K 10 2 6 2.478 2.188 ~100,-0207 781280001000 100-2293 78,61,61,-2,,-56.24,0,0,-56.24,0,-56.24
A1536983,WASHER LOC 1/4 ZN ~W/ EXTERNAL, TOOTH 100-3843,61,61,-2,,-0.0258,0,0,-0.0258,0,-0.0258
A1537009,GREASE CAP 21-43 BLK ZN UL ~10,0-1092 750963155000,61,61,-12,,-5.5104,0,0,-5.5104,0,-5.5104
A1537790,EQUALIZER SLP 11 9.5 0.24 PC 1,3-4 ~100-0692 770362134001,61,61,-52,,-389.4956,0,0,-389.4956,0,-389.4956
A1691063,SPDL HUB ASM WASP DBL 1750# 15,.62 PLN LOOSE WHEEL NUTS ~ 702,61,61,-100,,-5704.89,-332.2,-201.93,-6239.02,-168.78,-6407.8
E-1255-1,*OBSOLETE - DO NOT BUY/SELL*,"BEAM WELDMENT,UTA, E-Z LUBE",61,61,-2,,-109.7682,-14.6438,-19.4696,-143.8816,-7.2822,-151.1638
E-1469,*OBSOLETE - DO NOT BUY/SELL*,AXLE BEAM  PER E-1469 E-Z LUBE,61,61,-1,,-58.384,-7.3219,-9.7348,-75.4407,-3.6411,-79.0818
E-1942,AXLE ASSY 10K 12 1/4 X 3/8,ELEC 8 ON 6.5 DOOSAN,61,61,-5,,-4019.2505,-272.2335,-484.807,-4776.291,-156.773,-4933.064
E-1969,AXLE TOR RH BEAM 32DN WASP,SPRAY PAINTED WELDMENT,61,61,-4,,-181.746,-35.3668,-28.9892,-246.102,-19.0832,-265.1852
E-2023-18,QF70 #12 FC 91/67.75/77.5 RTR,/OUT/CB TM 10U UL FL 865,61,61,-1,,-274.123,-21.513,-24.6557,-320.2917,-12.5937,-332.8854
E-2208,#11(4K) TOR AXLE 22DT STD HP,"SHOCK BRKT 655 28'""OB 52.88 HF",61,61,-50,,-10540.835,-1062.195,-1127.27,-12730.3,-615.785,-13346.085
F024087E20,BRK.AXLE UTA(ST) E-Z LUBE,12X2 FREEBACKING PARK HYD.BRK,61,61,-4,,-1172.8704,-71.9532,-92.2752,-1337.0988,-44.8012,-1381.9
F024088E20,BRK.AXLE UTA(ST) E-Z LUBE,12X2 FREEBACKING PARK HYD.BRK,61,61,-4,,-1101.1624,-71.9532,-92.2752,-1265.3908,-44.8012,-1310.192
HAP-161-20,"HGR&A/P KIT, HDSS, SINGLE AXLE",W/SPRING SEAT & SPRING HRDWR,61,61,-2,,-252.3902,-7.3014,-11.349,-271.0406,-5.4678,-276.5084
HAP-161-21,"HGR&A/P KIT, HDSS, SINGLE AXLE",W/ SPRING SEAT & SPRING HRDWR,61,61,-2,,-196.9584,-7.3014,-11.349,-215.6088,-5.4678,-221.0766
HAP-261-20,"HGR&A/P KIT, HDSS, MULTI AXLE",W/ SPRING SEAT & SPRING HRDWR,61,61,-1,,-122.3324,-3.6507,-5.6745,-131.6576,-2.7339,-134.3915
HAP-261-21,"HGR&A/P KIT, HDSS, MULTI AXLE",W/ SPRING SEAT & SPRING HRDWR,61,61,-1,,-127.5601,-3.6507,-5.6745,-136.8853,-2.7339,-139.6192
K71-704-00,9K-10KGD OIL CAP,3 1/2-12 THREADS,61,61,-2,,-7.405,-0.6552,-1.9404,-10.0006,-0.6118,-10.6124
